claim_id,policy_id,claim_date,incident_date,state,vehicle_type,make_model,manufacture_year,claim_amount,premium,claim_status,repair_cost,total_loss_flag,driver_age,driver_gender,no_of_claims_history
C1001,P2001,5/01/2024,3/01/2024,NSW,Sedan,Toyota Corolla,2018,3200,1200,Closed,3000,0,34,M,1
C1002,P2002,8/01/2024,7/01/2024,VIC,SUV,Mazda CX-5,2020,5400,1500,Closed,5000,0,45,F,0
C1003,P2003,12/01/2024,10/01/2024,QLD,Ute,Ford Ranger,2019,12000,1800,Closed,0,1,29,M,2
C1004,P2004,15/01/2024,14/01/2024,NSW,Hatchback,Hyundai i30,2017,2100,1100,Open,2000,0,38,F,1
C1005,P2005,20/01/2024,18/01/2024,VIC,Sedan,Honda Civic,2016,1800,1000,Closed,1700,0,50,M,0
C1006,P2006,2/02/2024,30/01/2024,QLD,SUV,Toyota RAV4,2021,7600,1600,Closed,7000,0,41,F,1
C1007,P2007,5/02/2024,3/02/2024,NSW,Ute,Nissan Navara,2018,9800,1700,Closed,0,1,33,M,3
C1008,P2008,10/02/2024,8/02/2024,VIC,Hatchback,Kia Rio,2019,1500,900,Closed,1400,0,27,F,0
C1009,P2009,14/02/2024,12/02/2024,QLD,Sedan,Subaru Impreza,2020,4300,1300,Open,4000,0,36,M,1
C1010,P2010,18/02/2024,15/02/2024,NSW,SUV,Hyundai Tucson,2022,6700,1550,Closed,6200,0,48,F,2
C1011,P2011,1/03/2024,27/02/2024,VIC,Ute,Isuzu D-Max,2021,11000,1900,Closed,0,1,39,M,1
C1012,P2012,4/03/2024,2/03/2024,QLD,Sedan,Toyota Camry,2018,2600,1200,Closed,2500,0,52,F,0
C1013,P2013,8/03/2024,6/03/2024,NSW,Hatchback,Volkswagen Golf,2017,3100,1150,Open,2900,0,31,M,2
C1014,P2014,12/03/2024,10/03/2024,VIC,SUV,Kia Sportage,2020,5900,1450,Closed,5500,0,44,F,1
C1015,P2015,15/03/2024,13/03/2024,QLD,Ute,Toyota Hilux,2019,13500,2000,Closed,0,1,37,M,3
